GeogName,GeoID,Borough,TotalPopulation2016,White2016,RateWhite2016,RateNonWhite2016,Income2016,TotalUnits2016,Owned2016,Rented2016,OwnedRate2016,RentedRate2016,Rent2016,HouseValue2016,X1_2016,X2_2016,X3_2016,GFactor2016,TotalPopulation2010,White2010,RateWhite2010,RateNonWhite2010,Income2010,TotalUnits2010,Owned2010,Rented2010,OwnedRate2010,RentedRate2010,Rent2010,HouseValue2010,X1_2010,X2_2010,X3_2010,GFactor2010,TotalPopulationChange,WhiteChange,RateWhiteChange,RateNonWhiteChange,IncomeChange,TotalUnitsChange,OwnedChange,RentedChange,OwnedRateChange,RentedRateChange,RentChange,HouseValueChange,X1_Change,X2_Change,X3_Change,GFactorChange
Airport,QN98,Queens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allerton-Pelham Gardens,BX31,Bronx,31376,9000,0.286843447,0.713156553,63863,9833,6141,3470,0.624529645,0.352893318,1044,457736,0.097833735,0.115322766,0.137427718,0.350584219,32450,7178,0.22,0.78,59992,9419,5166,4253,0.55,0.45,1336,448273,0.08,0.1,0.07,0.24,0.03,-0.2,-0.23,0.09,-0.06,-0.04,-0.16,0.23,-0.12,0.28,0.28,-0.02,-0.22,-0.17,-0.48,-0.87
Annadale-Huguenot-Princes Bay-Eltingville,SI01,Staten Island,28464,24390,0.856871838,0.143128162,93015,9616,8283,1189,0.861376872,0.123648087,1222,591603,0.296305732,0.189733772,0.185790318,0.671829822,28698,25446,0.89,0.11,92853,10010,8194,1816,0.82,0.18,1139,561305,0.31,0.18,0.09,0.58,0.01,0.04,0.03,-0.21,0,0.04,-0.01,0.53,-0.05,0.47,-0.07,-0.05,0.05,-0.07,-0.52,-0.53
Arden Heights,SI48,Staten Island,24853,19835,0.798092786,0.201907214,87442,8727,7568,999,0.867193766,0.114472327,1214,428248,0.275840092,0.175508589,0.126774485,0.578123166,26482,20642,0.78,0.22,84490,9095,7911,1184,0.87,0.13,1155,422899,0.27,0.16,0.07,0.5,0.07,0.04,-0.02,0.09,-0.03,0.04,0.05,0.19,0,0.14,-0.05,-0.01,-0.01,-0.11,-0.48,-0.59
Astoria,QN70,Queens,76898,37957,0.493601914,0.506398086,49161,34386,5358,28519,0.155819229,0.829378235,1186,596110,0.169822721,0.077795645,0.187418578,0.435036944,77252,38563,0.5,0.5,59453,34325,5206,29119,0.15,0.85,1485,552407,0.17,0.09,0.09,0.36,0,0.02,0.01,-0.01,0.21,0,-0.03,0.02,-0.03,0.02,0.25,-0.07,0.03,0.21,-0.53,-0.28
Auburndale,QN48,Queens,19603,9025,0.460388716,0.539611284,73408,7135,5025,1977,0.704274702,0.277084793,1356,600869,0.158258578,0.139686551,0.189137879,0.487083007,20609,7582,0.37,0.63,74862,6937,4706,2231,0.68,0.32,1614,644198,0.13,0.13,0.1,0.37,0.05,-0.16,-0.2,0.17,0.02,-0.03,-0.06,0.13,-0.04,0.16,0.19,0.07,-0.19,-0.05,-0.45,-0.69
Baisley Park,QN76,Queens,33942,265,0.007807436,0.992192564,57574,10521,6870,3493,0.652979755,0.332002661,1087,388568,0.000679215,0.09926998,0.112439153,0.212388347,39079,420,0.01,0.99,62609,10971,7090,3881,0.65,0.35,1340,367690,0,0.1,0.06,0.16,0.15,0.58,0.37,0,0.09,0.04,0.03,0.11,-0.01,0.07,0.23,-0.05,2.55,0.03,-0.49,2.09
Bath Beach,BK27,Brooklyn,26694,15900,0.59563947,0.40436053,40540,10314,4267,5712,0.413709521,0.553810355,996,632581,0.205350069,0.055790387,0.200594584,0.46173504,33163,14490,0.44,0.56,58243,11428,4466,6962,0.39,0.61,1299,685011,0.15,0.09,0.11,0.36,0.24,-0.09,-0.27,0.39,0.44,0.11,0.05,0.22,-0.06,0.1,0.3,0.08,-0.26,0.64,-0.45,-0.06
Battery Park City-Lower Manhattan,MN25,Manhattan,33170,21182,0.638589087,0.361410913,117126,16577,3109,13139,0.187549014,0.792604211,2000,763335,0.22030423,0.251277535,0.24783254,0.719414305,45737,29642,0.65,0.35,134266,22074,4958,17116,0.22,0.78,2931,807691,0.23,0.28,0.13,0.64,0.38,0.4,0.01,-0.03,0.15,0.33,0.59,0.3,0.2,-0.02,0.47,0.06,0.03,0.11,-0.47,-0.32
Bay Ridge,BK31,Brooklyn,81232,54905,0.675903585,0.324096415,54679,34575,12170,21912,0.351988431,0.633752711,1149,607614,0.23329636,0.09188044,0.191574668,0.516751469,79134,50197,0.63,0.37,63539,33487,12058,21429,0.36,0.64,1385,687001,0.22,0.1,0.11,0.44,-0.03,-0.09,-0.06,0.13,0.16,-0.03,-0.01,-0.02,0.02,0.01,0.21,0.13,-0.05,0.14,-0.42,-0.33
Bayside-Bayside Hills,QN46,Queens,44659,22255,0.498331803,0.501668197,71710,16246,10700,5356,0.658623661,0.329681152,1386,623783,0.171469569,0.135352375,0.1974161,0.504238044,44864,18640,0.42,0.58,81794,15673,10105,5568,0.64,0.36,1643,648307,0.15,0.15,0.1,0.4,0,-0.16,-0.17,0.17,0.14,-0.04,-0.06,0.04,-0.02,0.08,0.19,0.04,-0.15,0.11,-0.47,-0.52
Bedford,BK75,Brooklyn,68202,15123,0.221738365,0.778261635,31979,23326,4850,18141,0.20792249,0.777715854,890,629935,0.075165503,0.03393828,0.199638654,0.308742437,75318,26407,0.35,0.65,39970,26059,4824,21235,0.19,0.81,1165,722811,0.12,0.05,0.12,0.29,0.1,0.75,0.58,-0.17,0.25,0.12,-0.01,0.17,-0.11,0.05,0.31,0.15,0.63,0.36,-0.41,0.58
Bedford Park-Fordham North,BX05,Bronx,50524,3237,0.064068561,0.935931439,29111,18014,1040,16591,0.057732874,0.921005884,978,347221,0.020268165,0.026617658,0.097501577,0.144387401,55995,3237,0.06,0.94,33643,19364,859,18505,0.04,0.96,1178,326962,0.02,0.03,0.05,0.1,0.11,0,-0.1,0.01,0.16,0.07,-0.17,0.12,-0.23,0.04,0.2,-0.06,-0.06,0.14,-0.48,-0.4
Bellerose,QN43,Queens,25296,7823,0.309258381,0.690741619,71996,8138,6133,1914,0.753624969,0.235192922,1169,487144,0.105638147,0.136082395,0.148052049,0.389772592,26916,7436,0.28,0.72,74950,8192,5864,2328,0.72,0.28,1419,484217,0.1,0.13,0.08,0.31,0.06,-0.05,-0.11,0.05,0.04,0.01,-0.04,0.22,-0.05,0.21,0.21,-0.01,-0.09,-0.02,-0.48,-0.59
Belmont,BX06,Bronx,26657,4676,0.175413587,0.824586413,20678,8610,409,7977,0.047502904,0.926480836,915,454677,0.059036181,0.005092274,0.136322583,0.200451037,29372,5706,0.19,0.81,24727,9116,480,8636,0.05,0.95,1066,342499,0.07,0.01,0.05,0.13,0.1,0.22,0.11,-0.02,0.2,0.06,0.17,0.08,0.11,0.02,0.17,-0.25,0.14,0.64,-0.61,0.16
Bensonhurst East,BK29,Brooklyn,60887,28625,0.470133198,0.529866802,40251,21777,8113,12757,0.37254902,0.585801534,1027,618225,0.161651403,0.055052709,0.195408142,0.412112254,64267,29894,0.47,0.53,48097,22187,7649,14538,0.34,0.66,1209,657026,0.16,0.07,0.11,0.34,0.06,0.04,-0.01,0.01,0.19,0.02,-0.06,0.14,-0.07,0.12,0.18,0.06,0.01,0.2,-0.46,-0.25
Bensonhurst West,BK28,Brooklyn,81667,42608,0.521728483,0.478271517,40316,29327,10396,18052,0.354485628,0.615541992,1031,639745,0.179615805,0.055218623,0.203182747,0.438017176,91646,39112,0.43,0.57,51035,29909,10333,19576,0.35,0.65,1259,708946,0.15,0.07,0.11,0.34,0.12,-0.08,-0.18,0.2,0.27,0.02,-0.01,0.08,-0.03,0.06,0.22,0.11,-0.17,0.33,-0.43,-0.27
Borough Park,BK88,Brooklyn,104988,81226,0.773669372,0.226330628,37070,28653,8623,19514,0.3009458,0.681045615,1096,685741,0.267336368,0.04693315,0.219799883,0.534069401,105913,80190,0.76,0.24,36893,27422,8560,18862,0.31,0.69,1341,815579,0.27,0.04,0.13,0.44,0.01,-0.01,-0.02,0.07,0,-0.04,-0.01,-0.03,0.04,0.01,0.22,0.19,0,-0.18,-0.4,-0.58
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN10,Queens,28531,22359,0.783673899,0.216326101,71108,11145,7183,3746,0.644504262,0.33611485,1072,621011,0.270819736,0.133815759,0.196414649,0.601050145,28243,21974,0.78,0.22,80924,10825,6471,4354,0.6,0.4,1252,552248,0.27,0.15,0.09,0.51,-0.01,-0.02,-0.01,0.03,0.14,-0.03,-0.1,0.16,-0.07,0.2,0.17,-0.11,0.01,0.1,-0.55,-0.44
Briarwood-Jamaica Hills,QN35,Queens,37855,8352,0.220631356,0.779368644,55856,13770,5646,7993,0.410021786,0.580464779,1199,479561,0.074780065,0.094884754,0.145312512,0.314977332,42224,7020,0.17,0.83,62588,14269,5440,8829,0.38,0.62,1441,375873,0.06,0.1,0.06,0.22,0.12,-0.16,-0.25,0.07,0.12,0.04,-0.04,0.1,-0.07,0.07,0.2,-0.22,-0.23,0.08,-0.6,-0.75
Brighton Beach,BK19,Brooklyn,30771,21424,0.696239966,0.303760034,29239,13788,3758,9729,0.272555846,0.705613577,937,491907,0.240377064,0.026944381,0.149772795,0.41709424,34157,23746,0.7,0.3,35699,14097,4380,9717,0.31,0.69,1122,566383,0.24,0.04,0.09,0.37,0.11,0.11,0,0,0.22,0.02,0.17,0,0.14,-0.02,0.2,0.15,0.02,0.32,-0.39,-0.06
Bronxdale,BX07,Bronx,33565,5993,0.178549084,0.821450916,35553,13625,1748,11617,0.128293578,0.852623853,913,379411,0.060127896,0.04306098,0.109130971,0.212319846,37595,4241,0.11,0.89,35431,13780,1866,11914,0.14,0.86,1071,302531,0.04,0.03,0.05,0.12,0.12,-0.29,-0.37,0.08,0,0.01,0.07,0.03,0.06,0.01,0.17,-0.2,-0.36,-0.19,-0.58,-1.13
Brooklyn Heights-Cobble Hill,BK09,Brooklyn,23255,17500,0.752526338,0.247473662,102106,11592,5467,6045,0.471618357,0.521480331,1597,629379,0.259974805,0.212938714,0.199437786,0.672351305,24140,17461,0.72,0.28,116189,11152,4817,6335,0.43,0.57,2084,768459,0.25,0.24,0.12,0.61,0.04,0,-0.04,0.12,0.14,-0.04,-0.12,0.05,-0.08,0.09,0.3,0.22,-0.02,0.1,-0.37,-0.29
Brownsville,BK81,Brooklyn,53583,796,0.014855458,0.985144542,22965,20172,3458,16377,0.171425739,0.811867936,580,371504,0.003133189,0.010929882,0.106274381,0.120337453,60124,740,0.01,0.99,24504,21552,3053,18499,0.14,0.86,738,372773,0,0.01,0.06,0.07,0.12,-0.07,-0.17,0,0.07,0.07,-0.12,0.13,-0.17,0.06,0.27,0,-0.05,-0.29,-0.45,-0.8
Bushwick North,BK77,Brooklyn,59970,4990,0.083208271,0.916791729,35263,18461,2225,15979,0.120524349,0.865554412,1057,504682,0.026932213,0.042320749,0.154388064,0.223641027,60834,9252,0.15,0.85,46485,19207,2023,17184,0.11,0.89,1359,535930,0.05,0.06,0.09,0.2,0.01,0.85,0.83,-0.08,0.32,0.04,-0.09,0.08,-0.13,0.03,0.29,0.06,0.94,0.47,-0.45,0.97
Bushwick South,BK78,Brooklyn,69093,4728,0.068429508,0.931570492,32036,23593,4365,18689,0.185012504,0.792141737,893,507389,0.021786556,0.034083774,0.155366031,0.211236361,75003,10883,0.15,0.85,39733,26256,4085,22171,0.16,0.84,1206,534902,0.05,0.05,0.09,0.18,0.09,1.3,1.12,-0.08,0.24,0.11,-0.06,0.19,-0.16,0.07,0.35,0.05,1.29,0.34,-0.45,1.17
Cambria Heights,QN33,Queens,21616,216,0.009992598,0.990007402,81712,6604,5528,1001,0.837068443,0.151574803,1124,428454,0.001440043,0.160882661,0.126848907,0.289171611,19546,227,0.01,0.99,82100,6081,5262,819,0.87,0.13,1407,398366,0,0.15,0.06,0.22,-0.1,0.05,0.16,0,0,-0.08,-0.05,-0.18,0.03,-0.11,0.25,-0.07,0.89,-0.06,-0.51,0.32
Canarsie,BK50,Brooklyn,83433,5578,0.06685604,0.93314396,59746,27476,13622,13450,0.495778134,0.489518125,1116,501229,0.021238707,0.104814049,0.153140587,0.279193343,88367,4048,0.05,0.95,62263,28677,13959,14718,0.49,0.51,1310,484625,0.01,0.1,0.08,0.19,0.06,-0.27,-0.31,0.02,0.04,0.04,0.02,0.09,-0.02,0.05,0.17,-0.03,-0.3,-0.03,-0.5,-0.83
Carroll Gardens-Columbia Street-Red Hook,BK33,Brooklyn,40858,23894,0.584805913,0.415194087,74662,17840,4755,12910,0.266535874,0.723654709,1412,893234,0.201578051,0.142887408,0.294761606,0.639227066,42463,25780,0.61,0.39,91757,18111,5209,12902,0.29,0.71,1753,1099629,0.21,0.17,0.18,0.57,0.04,0.08,0.04,-0.05,0.23,0.02,0.1,0,0.08,-0.02,0.24,0.23,0.06,0.22,-0.39,-0.11
Central Harlem North-Polo Grounds,MN03,Manhattan,76922,5107,0.066391929,0.933608071,30761,32500,3703,28487,0.113938462,0.876523077,727,602536,0.021077114,0.030829313,0.189740122,0.241646548,85872,7770,0.09,0.91,35748,34755,3120,31635,0.09,0.91,952,514806,0.03,0.04,0.08,0.15,0.12,0.52,0.36,-0.03,0.16,0.07,-0.16,0.11,-0.21,0.04,0.31,-0.15,0.45,0.16,-0.57,0.04
Central Harlem South,MN11,Manhattan,44000,7042,0.160045455,0.839954545,38958,17997,2838,14855,0.157692949,0.825415347,790,708258,0.053685318,0.051752304,0.227934679,0.3333723,50095,9974,0.2,0.8,53590,19505,3673,15832,0.19,0.81,1060,769132,0.07,0.08,0.13,0.27,0.14,0.42,0.24,-0.05,0.38,0.08,0.29,0.07,0.19,-0.02,0.34,0.09,0.28,0.54,-0.45,0.38
Charleston-Richmond Valley-Tottenville,SI11,Staten Island,23212,18943,0.816086507,0.183913493,86804,7328,5968,1281,0.81441048,0.174808952,1163,579562,0.28210513,0.173880083,0.181440224,0.637425437,24794,20473,0.83,0.17,86645,8117,6283,1834,0.77,0.23,1213,574514,0.29,0.16,0.09,0.54,0.07,0.08,0.01,-0.05,0,0.11,0.05,0.43,-0.05,0.29,0.04,-0.01,0.03,-0.07,-0.49,-0.53
Chinatown,MN27,Manhattan,49781,7769,0.156063558,0.843936442,33279,18893,1545,17130,0.081776319,0.906685016,822,596067,0.052298905,0.037256554,0.187403043,0.276958502,44898,7967,0.18,0.82,38854,18191,1183,17008,0.07,0.94,1028,690573,0.06,0.04,0.11,0.22,-0.1,0.03,0.14,-0.03,0.17,-0.04,-0.23,-0.01,-0.21,0.03,0.25,0.16,0.17,0.16,-0.4,-0.07
Claremont-Bathgate,BX01,Bronx,29478,286,0.009702151,0.990297849,19790,9644,431,9058,0.044691,0.939236831,608,387747,0.001338915,0.002825637,0.112142547,0.1163071,34815,400,0.01,0.99,21369,10843,496,10347,0.05,0.95,778,378999,0,0,0.06,0.06,0.18,0.4,0.19,0,0.08,0.12,0.15,0.14,0.02,0.02,0.28,-0.02,1,-1,-0.47,-0.48
Clinton,MN15,Manhattan,45225,25996,0.574814815,0.425185185,64951,25581,3768,21387,0.147296822,0.836050194,1427,722799,0.198099359,0.118099906,0.233187957,0.549387221,44293,24899,0.56,0.44,81845,26448,3807,22641,0.14,0.86,1979,818778,0.2,0.15,0.13,0.48,-0.02,-0.04,-0.02,0.03,0.26,0.03,0.01,0.06,-0.02,0.02,0.39,0.13,0,0.27,-0.43,-0.16
Clinton Hill,BK69,Brooklyn,34192,10977,0.321040009,0.678959991,54519,14868,5054,9594,0.33992467,0.64527845,1209,535343,0.109740264,0.091472037,0.165465071,0.366677372,38655,15508,0.4,0.6,72799,15797,5313,10484,0.34,0.66,1630,638640,0.14,0.13,0.1,0.37,0.13,0.41,0.25,-0.12,0.34,0.06,0.05,0.09,-0.01,0.03,0.35,0.19,0.28,0.39,-0.38,0.3
College Point,QN23,Queens,22914,8759,0.38225539,0.61774461,65271,7734,3803,3741,0.491724851,0.483708301,1354,543385,0.131054183,0.118916711,0.168370433,0.418341327,25875,6221,0.24,0.76,55021,7852,3648,4204,0.46,0.54,1503,549027,0.08,0.08,0.09,0.25,0.13,-0.29,-0.37,0.23,-0.16,0.02,-0.04,0.12,-0.06,0.11,0.11,0.01,-0.36,-0.3,-0.48,-1.14
Co-op City,BX13,Bronx,42778,4160,0.097246248,0.902753752,47106,18203,10002,8040,0.549469868,0.441685436,811,77338,0.031819944,0.072550221,0,0.104370165,48541,3418,0.07,0.93,46492,19435,8020,11415,0.41,0.59,959,29648,0.02,0.06,0,0.09,0.13,-0.18,-0.28,0.03,-0.01,0.07,-0.2,0.42,-0.25,0.33,0.18,-0.62,-0.26,-0.14,0,-0.4
Corona,QN25,Queens,54022,4999,0.092536374,0.907463626,45481,15925,3810,11884,0.239246468,0.746248038,1228,504028,0.030180064,0.068402379,0.154151791,0.252734234,58626,3983,0.07,0.93,45589,16643,3829,12814,0.23,0.77,1427,453604,0.02,0.06,0.07,0.15,0.09,-0.2,-0.27,0.03,0,0.05,0,0.08,-0.04,0.03,0.16,-0.1,-0.25,-0.12,-0.53,-0.91
Crotona Park East,BX75,Bronx,18969,131,0.006906005,0.993093995,19550,6596,504,6048,0.076409945,0.916919345,772,378631,0.000365355,0.002213033,0.108849178,0.111427566,21745,206,0.01,0.99,22538,7533,674,6859,0.09,0.91,842,425345,0,0,0.07,0.07,0.15,0.57,0.38,0,0.15,0.14,0.34,0.13,0.17,-0.01,0.09,0.12,4.37,0.31,-0.39,4.3
Crown Heights North,BK61,Brooklyn,100025,8414,0.08411897,0.91588103,34506,40486,6530,32892,0.161290323,0.812428988,930,578917,0.0272493,0.040388493,0.181207203,0.248844995,107134,16853,0.16,0.84,40678,43221,6030,37191,0.14,0.86,1137,697880,0.05,0.05,0.11,0.22,0.07,1,0.87,-0.08,0.18,0.07,-0.08,0.13,-0.14,0.06,0.22,0.21,0.99,0.19,-0.38,0.8
Crown Heights South,BK63,Brooklyn,40236,9959,0.247514663,0.752485337,36624,14813,2339,12392,0.157901843,0.836562479,959,637390,0.084140272,0.045794726,0.202331948,0.332266947,41962,11814,0.28,0.72,46357,14971,1992,12979,0.13,0.87,1263,688937,0.1,0.06,0.11,0.27,0.04,0.19,0.14,-0.05,0.27,0.01,-0.15,0.05,-0.16,0.04,0.32,0.08,0.17,0.35,-0.45,0.07
Cypress Hills-City Line,BK83,Brooklyn,48182,2489,0.051658296,0.948341704,40207,13953,4904,8849,0.351465635,0.63420053,1183,488080,0.01594717,0.054940399,0.148390201,0.21927777,48899,1558,0.03,0.97,45720,14159,4598,9561,0.32,0.68,1311,429541,0.01,0.06,0.07,0.14,0.01,-0.37,-0.38,0.02,0.14,0.01,-0.06,0.08,-0.08,0.06,0.11,-0.12,-0.38,0.1,-0.54,-0.83
Douglas Manor-Douglaston-Little Neck,QN45,Queens,23631,12413,0.525284584,0.474715416,78264,9361,7427,1856,0.793398141,0.198269416,1386,582095,0.180853965,0.152081578,0.18235533,0.515290874,25738,11938,0.46,0.54,83413,9684,7600,2084,0.78,0.22,1743,576588,0.16,0.15,0.09,0.41,0.09,-0.04,-0.12,0.13,0.07,0.03,0.02,0.12,-0.01,0.09,0.26,-0.01,-0.1,0.01,-0.49,-0.58
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,Brooklyn,32758,13146,0.401306551,0.598693449,61409,13728,3454,10156,0.251602564,0.739801865,830,716532,0.1376874,0.109058887,0.230923856,0.477670142,42245,18944,0.45,0.55,94542,17585,4495,13090,0.26,0.74,1749,929014,0.16,0.18,0.15,0.49,0.29,0.44,0.12,-0.08,0.54,0.28,0.3,0.29,0.02,0.01,1.11,0.3,0.14,0.66,-0.34,0.46
Dyker Heights,BK30,Brooklyn,42516,22509,0.529424217,0.470575783,52826,14622,6871,7384,0.469908357,0.504992477,1110,648414,0.182295299,0.087150624,0.206314627,0.475760551,45877,21415,0.47,0.53,56310,14907,6929,7978,0.46,0.54,1299,767503,0.16,0.09,0.12,0.37,0.08,-0.05,-0.12,0.13,0.07,0.02,0.01,0.08,-0.01,0.06,0.17,0.18,-0.1,-0.01,-0.39,-0.5
East Concourse-Concourse Village,BX14,Bronx,59990,595,0.00991832,0.99008168,26051,21102,2053,18439,0.097289356,0.873803431,904,139122,0.001414181,0.018806953,0.022320922,0.042542056,64516,1009,0.02,0.98,28772,22180,2589,19591,0.12,0.88,1078,185984,0,0.02,0.03,0.05,0.08,0.7,0.57,-0.01,0.1,0.05,0.26,0.06,0.2,0.01,0.19,0.34,1.93,-0.02,0.18,2.09
