GeogName,GeoID,Borough,TotalPopulation2016,White2016,RateWhite2016,RateNonWhite2016,Income2016,TotalUnits2016,Owned2016,Rented2016,OwnedRate2016,RentedRate2016,Rent2016,HouseValue2016,X1_2016,X2_2016,X3_2016,GFactor2016,TotalPopulation2010,White2010,RateWhite2010,RateNonWhite2010,Income2010,TotalUnits2010,Owned2010,Rented2010,OwnedRate2010,RentedRate2010,Rent2010,HouseValue2010,X1_2010,X2_2010,X3_2010,GFactor2010,TotalPopulationChange,WhiteChange,RateWhiteChange,RateNonWhiteChange,IncomeChange,TotalUnitsChange,OwnedChange,RentedChange,OwnedRateChange,RentedRateChange,RentChange,HouseValueChange,X1_Change,X2_Change,X3_Change,GFactorChange
Rego Park,QN18,Queens,29091,13148,0.451961088,0.548038912,55902,12506,5351,6941,0.42787462,0.555013593,1254,347424,0.155324253,0.09500217,0.097574915,0.347901338,28106,12501,0.44,0.56,57539,12260,5064,7196,0.41,0.59,1401,352759,0.16,0.09,0.05,0.3,-0.03,-0.05,-0.02,0.01,0.03,-0.02,-0.05,0.04,-0.03,0.06,0.12,0.02,0,-0.06,-0.44,-0.49
Richmond Hill,QN54,Queens,62604,7171,0.114545396,0.885454604,56343,17116,8529,8393,0.498305679,0.490359897,1209,506056,0.037843147,0.09612783,0.154884454,0.288855431,68275,6813,0.1,0.9,60779,17473,7947,9526,0.45,0.55,1412,473224,0.03,0.1,0.08,0.21,0.09,-0.05,-0.13,0.02,0.08,0.02,-0.07,0.13,-0.09,0.11,0.17,-0.06,-0.11,0.02,-0.52,-0.6
Ridgewood,QN20,Queens,68414,27275,0.39867571,0.60132429,46786,23633,5315,17842,0.224897389,0.754961283,1136,570115,0.136771396,0.071733415,0.178027273,0.386532084,72964,29940,0.41,0.59,55788,24198,5515,18683,0.23,0.77,1336,515807,0.14,0.09,0.08,0.31,0.07,0.1,0.03,-0.02,0.19,0.02,0.04,0.05,0.01,0.02,0.18,-0.1,0.05,0.19,-0.54,-0.3
Rikers Island,BX98,Bronx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rosedale,QN05,Queens,26668,1838,0.068921554,0.931078446,80854,7820,5461,2328,0.698337596,0.29769821,1572,451001,0.021957876,0.1586926,0.134994541,0.315645018,27462,1031,0.04,0.96,86452,7619,4654,2965,0.61,0.39,1604,422711,0.01,0.16,0.07,0.24,0.03,-0.44,-0.46,0.03,0.07,-0.03,-0.15,0.27,-0.13,0.31,0.02,-0.06,-0.46,0.02,-0.51,-0.95
Rossville-Woodrow,SI32,Staten Island,19461,16730,0.859668054,0.140331946,85405,6861,5689,1074,0.82917942,0.156536948,1157,565685,0.297279316,0.17030911,0.176426832,0.644015257,21397,18050,0.84,0.16,93405,7435,6456,979,0.87,0.13,1312,562591,0.3,0.18,0.09,0.57,0.1,0.08,-0.02,0.11,0.09,0.08,0.13,-0.09,0.05,-0.16,0.13,-0.01,0,0.05,-0.49,-0.44
Rugby-Remsen Village,BK96,Brooklyn,55663,326,0.005856673,0.994143327,43824,20185,6308,13588,0.312509289,0.673173148,1060,455070,0,0.064172857,0.136464563,0.20063742,55951,985,0.02,0.98,45863,20761,6301,14460,0.3,0.7,1210,438767,0,0.06,0.07,0.13,0.01,2.02,2.01,-0.01,0.05,0.03,0,0.06,-0.03,0.03,0.14,-0.04,0,-0.05,-0.49,-0.55
Schuylerville-Throgs Neck-Edgewater Park,BX52,Bronx,43832,22963,0.523886658,0.476113342,59838,16327,8409,7700,0.515036443,0.471611441,1075,439827,0.180367237,0.105048881,0.130957671,0.416373789,47580,18892,0.4,0.6,69686,16527,8495,8032,0.51,0.49,1286,424455,0.14,0.12,0.07,0.33,0.09,-0.18,-0.24,0.27,0.16,0.01,0.01,0.04,0,0.03,0.2,-0.03,-0.23,0.14,-0.49,-0.58
Seagate-Coney Island,BK21,Brooklyn,30992,10331,0.333344089,0.666655911,28628,11497,1891,9505,0.16447769,0.82673741,594,440674,0.114024288,0.025384792,0.13126367,0.27067275,29677,9216,0.31,0.69,26033,10981,1687,9294,0.15,0.85,620,433588,0.11,0.01,0.07,0.19,-0.04,-0.11,-0.07,0.03,-0.09,-0.04,-0.11,-0.02,-0.07,0.02,0.04,-0.02,-0.05,-0.54,-0.48,-1.07
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,BK17,Brooklyn,61450,42913,0.698340114,0.301659886,50998,24730,12661,11645,0.511969268,0.470885564,960,500930,0.241108292,0.082484621,0.153032566,0.476625479,66293,43445,0.66,0.34,54371,26198,13992,12206,0.53,0.47,1149,467326,0.23,0.08,0.07,0.39,0.08,0.01,-0.06,0.14,0.07,0.06,0.11,0.05,0.04,-0.01,0.2,-0.07,-0.05,-0.01,-0.52,-0.57
SoHo-TriBeCa-Civic Center-Little Italy,MN24,Manhattan,39918,25678,0.643268701,0.356731299,88752,18345,4836,13280,0.263614064,0.723902971,1548,1000000,0.221933574,0.178852388,0.333333333,0.734119295,42979,28050,0.65,0.35,121638,19700,5717,13983,0.29,0.71,2144,2000000,0.23,0.25,0.33,0.81,0.08,0.09,0.01,-0.03,0.37,0.07,0.18,0.05,0.1,-0.02,0.39,1,0.03,0.39,0,0.42
Soundview-Bruckner,BX55,Bronx,34249,601,0.017547958,0.982452042,29868,11397,1735,9550,0.152233044,0.837939809,912,435514,0.004070661,0.028549914,0.129399498,0.162020074,37866,941,0.02,0.98,29638,11820,1735,10085,0.15,0.85,1082,383006,0.01,0.02,0.06,0.09,0.11,0.57,0.42,-0.01,-0.01,0.04,0,0.06,-0.04,0.02,0.19,-0.12,0.82,-0.28,-0.54,0
Soundview-Castle Hill-Clason Point-Harding Park,BX09,Bronx,52963,1070,0.020202783,0.979797217,37332,18665,4624,14015,0.247736405,0.750870613,709,383910,0.004995016,0.047601909,0.110756341,0.163353266,56552,1345,0.02,0.98,35771,19190,5351,13839,0.28,0.72,867,358572,0.01,0.04,0.06,0.1,0.07,0.26,0.18,0,-0.04,0.03,0.16,-0.01,0.13,-0.04,0.22,-0.07,0.4,-0.25,-0.5,-0.34
South Jamaica,QN01,Queens,35833,353,0.009851254,0.990148746,43533,11540,5399,5989,0.467850953,0.51897747,932,393455,0.00139083,0.063430074,0.114204696,0.1790256,41606,163,0,1,48375,12166,5479,6687,0.45,0.55,1154,374207,0,0.07,0.06,0.13,0.16,-0.54,-0.6,0.01,0.11,0.05,0.01,0.12,-0.04,0.06,0.24,-0.05,-1,0.06,-0.49,-1.43
South Ozone Park,QN55,Queens,77556,5967,0.076937955,0.923062045,56774,21589,13856,7513,0.641808328,0.348001297,1215,465734,0.02474902,0.097227965,0.140317184,0.262294169,85411,4553,0.05,0.95,62651,22105,14139,7966,0.64,0.36,1388,432257,0.02,0.1,0.07,0.19,0.1,-0.24,-0.31,0.03,0.1,0.02,0.02,0.06,0,0.04,0.14,-0.07,-0.3,0.05,-0.51,-0.76
Springfield Gardens North,QN02,Queens,26495,251,0.009473486,0.990526514,53003,10037,3290,6656,0.327787187,0.663146358,880,409320,0.001259299,0.08760242,0.1199363,0.208798019,27577,290,0.01,0.99,53006,10464,3674,6790,0.35,0.65,1102,394427,0,0.08,0.06,0.14,0.04,0.16,0.11,0,0,0.04,0.12,0.02,0.07,-0.02,0.25,-0.04,0.85,-0.1,-0.49,0.26
Springfield Gardens South-Brookville,QN03,Queens,20426,651,0.031871145,0.968128855,74947,5565,3900,1625,0.700808625,0.292003594,1601,450717,0.009057696,0.143614876,0.134891939,0.287564512,21900,435,0.02,0.98,75244,5942,3669,2273,0.62,0.38,1631,408800,0.01,0.13,0.06,0.2,0.07,-0.33,-0.38,0.01,0,0.07,-0.06,0.4,-0.12,0.31,0.02,-0.09,-0.38,-0.07,-0.52,-0.97
Spuyten Duyvil-Kingsbridge,BX29,Bronx,29269,14219,0.485804093,0.514195907,63079,12706,4575,8014,0.36006611,0.630725641,1145,309071,0.167107682,0.113321592,0.083718993,0.364148266,31508,13851,0.44,0.56,68776,13171,4766,8405,0.36,0.64,1391,304920,0.15,0.12,0.05,0.32,0.08,-0.03,-0.1,0.09,0.09,0.04,0.04,0.05,0.01,0.01,0.21,-0.01,-0.08,0.04,-0.44,-0.49
St. Albans,QN08,Queens,49614,509,0.010259201,0.989740799,65319,15456,11558,3694,0.747800207,0.239001035,1152,417402,0.001532868,0.119039232,0.122856113,0.243428213,54626,580,0.01,0.99,71487,15717,10967,4750,0.7,0.3,1349,387885,0,0.12,0.06,0.19,0.1,0.14,0.03,0,0.09,0.02,-0.05,0.29,-0.07,0.26,0.17,-0.07,0.54,0.04,-0.51,0.08
Stapleton-Rosebank,SI37,Staten Island,24747,9885,0.399442357,0.600557643,53072,8955,4481,4257,0.500390843,0.475376884,1060,396341,0.137038326,0.087778544,0.115247331,0.340064201,26247,9594,0.37,0.63,53120,9317,4462,4855,0.48,0.52,1169,371507,0.13,0.08,0.06,0.26,0.06,-0.03,-0.08,0.06,0,0.04,0,0.14,-0.04,0.1,0.1,-0.06,-0.07,-0.1,-0.5,-0.67
Starrett City,BK93,Brooklyn,13225,3503,0.264877127,0.735122873,24935,6491,111,6338,0.017100601,0.976428902,812,388297,0.09018552,0.015958343,0.112341247,0.21848511,12388,2759,0.22,0.78,24601,6408,135,6273,0.02,0.98,641,484482,0.08,0.01,0.08,0.16,-0.06,-0.21,-0.16,0.06,-0.01,-0.01,0.22,-0.01,0.23,0,-0.21,0.25,-0.14,-0.5,-0.32,-0.96
Steinway,QN72,Queens,50102,32154,0.641770788,0.358229212,55083,21191,7266,13470,0.342881412,0.635647209,1257,611453,0.221412032,0.092911657,0.192961597,0.507285287,48179,30027,0.62,0.38,64259,19715,5697,14018,0.29,0.71,1596,677697,0.22,0.11,0.11,0.43,-0.04,-0.07,-0.03,0.05,0.17,-0.07,-0.22,0.04,-0.16,0.12,0.27,0.11,-0.01,0.14,-0.43,-0.3
Stuyvesant Heights,BK35,Brooklyn,61410,1878,0.030581339,0.969418661,35194,23820,5679,17686,0.238413098,0.742485306,886,584964,0.008608613,0.042144626,0.183391824,0.234145062,67371,6512,0.1,0.9,41269,25486,6338,19148,0.25,0.75,1123,640583,0.03,0.05,0.1,0.19,0.1,2.47,2.16,-0.07,0.17,0.07,0.12,0.08,0.04,0.01,0.27,0.1,2.8,0.17,-0.44,2.54
Stuyvesant Town-Cooper Village,MN50,Manhattan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sunset Park East,BK34,Brooklyn,69526,10027,0.144219429,0.855780571,34397,20807,4639,15785,0.222953814,0.75863892,1015,606221,0.048175026,0.040110269,0.191071414,0.279356709,71850,9109,0.13,0.87,39200,19923,4274,15649,0.21,0.79,1231,668624,0.04,0.04,0.11,0.2,0.03,-0.09,-0.12,0.02,0.14,-0.04,-0.08,-0.01,-0.04,0.04,0.21,0.1,-0.1,0.1,-0.43,-0.43
Sunset Park West,BK32,Brooklyn,55748,9161,0.164328765,0.835671235,40675,17278,4105,12782,0.237585369,0.739784697,1099,606963,0.055176677,0.056134977,0.191339479,0.302651134,57377,9735,0.17,0.83,47397,16754,3794,12960,0.23,0.77,1349,700654,0.06,0.06,0.11,0.24,0.03,0.06,0.03,-0.01,0.17,-0.03,-0.08,0.01,-0.05,0.05,0.23,0.15,0.06,0.15,-0.41,-0.2
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,SI24,Staten Island,32489,24526,0.754901659,0.245098341,78990,11273,9025,2056,0.80058547,0.182382684,1181,493315,0.260801842,0.153934707,0.150281468,0.565018017,32276,22789,0.71,0.29,83355,11603,8913,2690,0.77,0.23,1343,495643,0.25,0.15,0.08,0.48,-0.01,-0.07,-0.06,0.2,0.06,0.03,-0.01,0.31,-0.04,0.27,0.14,0,-0.05,0,-0.48,-0.53
Turtle Bay-East Midtown,MN19,Manhattan,48048,37269,0.775661838,0.224338162,109031,29018,12096,16211,0.416844717,0.55865325,1984,800982,0.268030104,0.230614902,0.261433403,0.760078408,49628,36919,0.74,0.26,119688,28991,12936,16055,0.45,0.55,2415,799590,0.26,0.24,0.13,0.64,0.03,-0.01,-0.04,0.14,0.1,0,0.07,-0.01,0.07,-0.01,0.22,0,-0.02,0.06,-0.5,-0.47
University Heights-Morris Heights,BX36,Bronx,55799,641,0.011487661,0.988512339,25459,17761,1007,16580,0.056697258,0.933505996,894,440921,0.001960593,0.017295862,0.131352904,0.150609359,55575,585,0.01,0.99,22776,19072,787,18285,0.04,0.96,1021,420282,0,0,0.07,0.07,0,-0.09,-0.09,0,-0.11,0.07,-0.22,0.1,-0.27,0.03,0.14,-0.05,0.19,-0.8,-0.5,-1.1
Upper East Side-Carnegie Hill,MN40,Manhattan,60780,53347,0.877706482,0.122293518,149273,29281,17317,11167,0.591407397,0.381373587,1895,1000000,0.30355992,0.333333333,0.333333333,0.970226587,58593,49005,0.84,0.16,155786,28854,16940,11914,0.59,0.41,2251,2000000,0.29,0.33,0.33,0.96,-0.04,-0.08,-0.05,0.34,0.04,-0.01,-0.02,0.07,-0.01,0.08,0.19,1,-0.03,0,0,-0.03
Upper West Side,MN12,Manhattan,138076,95856,0.694226368,0.305773632,88840,68548,19903,47441,0.290351287,0.692084379,1404,1000000,0.239675971,0.179077009,0.333333333,0.752086314,134019,88180,0.66,0.34,99320,65676,20511,45165,0.31,0.69,1670,1158387,0.23,0.19,0.19,0.62,-0.03,-0.08,-0.05,0.12,0.12,-0.04,0.03,-0.05,0.08,-0.01,0.19,0.16,-0.04,0.08,-0.43,-0.38
Van Cortlandt Village,BX28,Bronx,50284,6219,0.123677512,0.876322488,37260,17977,2566,15050,0.142737943,0.837180842,988,139524,0.041022759,0.047418128,0.022466154,0.110907041,51157,4457,0.09,0.91,42564,17863,3012,14851,0.17,0.83,1191,109648,0.03,0.05,0.01,0.1,0.02,-0.28,-0.3,0.04,0.14,-0.01,0.17,-0.01,0.18,-0.01,0.21,-0.21,-0.28,0.11,-0.4,-0.57
Van Nest-Morris Park-Westchester Square,BX37,Bronx,28749,8500,0.295662458,0.704337542,47970,9745,3161,6465,0.324371473,0.663417137,1048,453447,0.10090433,0.074755596,0.135878216,0.311538143,29509,7212,0.24,0.76,46002,9430,2578,6852,0.27,0.73,1279,439166,0.08,0.06,0.07,0.22,0.03,-0.15,-0.17,0.07,-0.04,-0.03,-0.18,0.06,-0.16,0.1,0.22,-0.03,-0.16,-0.18,-0.49,-0.83
Washington Heights North,MN35,Manhattan,71364,18683,0.261798666,0.738201334,38719,25475,2915,22048,0.114425908,0.865475957,999,407592,0.089113664,0.051142252,0.11931202,0.259567935,73523,19079,0.26,0.74,48800,25848,3197,22651,0.12,0.88,1286,418434,0.09,0.07,0.07,0.22,0.03,0.02,-0.01,0,0.26,0.01,0.1,0.03,0.08,0.01,0.29,0.03,0.01,0.33,-0.45,-0.11
Washington Heights South,MN36,Manhattan,90285,8715,0.096527662,0.903472338,33957,29382,2157,26567,0.073412293,0.904193043,943,401889,0.031569747,0.038987161,0.117251677,0.187808585,92476,11476,0.12,0.88,39841,29295,1959,27336,0.07,0.93,1157,401576,0.04,0.05,0.06,0.15,0.02,0.32,0.29,-0.03,0.17,0,-0.09,0.03,-0.09,0.03,0.23,0,0.34,0.17,-0.46,0.06
West Brighton,BK23,Brooklyn,15959,15372,0.963218247,0.036781753,42996,8092,2419,5623,0.298937222,0.694883836,813,302168,0.333333333,0.062059372,0.081225122,0.476617827,15754,14931,0.95,0.05,40910,8132,3404,4728,0.42,0.58,987,282390,0.33,0.05,0.04,0.42,-0.01,-0.03,-0.02,0.42,-0.05,0,0.41,-0.16,0.4,-0.16,0.21,-0.07,0,-0.22,-0.47,-0.69
West Concourse,BX63,Bronx,39711,906,0.022814837,0.977185163,27789,12839,353,12334,0.027494353,0.960666719,918,238919,0.005904479,0.023243229,0.058374934,0.087522642,37395,710,0.02,0.98,26520,13095,319,12776,0.02,0.98,1098,213234,0.01,0.01,0.03,0.05,-0.06,-0.22,-0.17,0,-0.05,0.02,-0.1,0.04,-0.11,0.02,0.2,-0.11,-0.1,-0.45,-0.47,-1.02
West Farms-Bronx River,BX08,Bronx,34321,681,0.019842079,0.980157921,30580,11596,1935,9494,0.166867885,0.818730597,966,440290,0.004869427,0.030367307,0.131124941,0.166361675,35752,1182,0.03,0.97,29306,11865,1818,10047,0.15,0.85,1108,453009,0.01,0.02,0.07,0.1,0.04,0.74,0.67,-0.01,-0.04,0.02,-0.06,0.06,-0.08,0.03,0.15,0.03,1.11,-0.35,-0.45,0.31
West New Brighton-New Brighton-St. George,SI22,Staten Island,30879,8193,0.26532595,0.73467405,49273,11647,4844,6667,0.41590109,0.572422083,1039,382929,0.090341791,0.078081527,0.110401931,0.278825249,33175,7818,0.24,0.76,48899,12074,4949,7125,0.41,0.59,1064,359324,0.08,0.07,0.06,0.21,0.07,-0.05,-0.11,0.04,-0.01,0.04,0.02,0.07,-0.01,0.03,0.02,-0.06,-0.09,-0.13,-0.49,-0.71
West Village,MN23,Manhattan,67305,55332,0.822108313,0.177891687,99643,37206,11722,24396,0.315056711,0.655700693,1878,961144,0.284201797,0.206651862,0.31929569,0.810149349,66772,53660,0.8,0.2,119593,36906,12389,24517,0.34,0.66,2286,1107878,0.28,0.24,0.18,0.71,-0.01,-0.03,-0.02,0.1,0.2,-0.01,0.06,0,0.07,0.01,0.22,0.15,-0.01,0.18,-0.43,-0.26
Westchester-Unionport,BX59,Bronx,26870,1736,0.064607369,0.935392631,43196,8574,2317,6048,0.270235596,0.705388383,1092,445319,0.020455767,0.062569875,0.132941785,0.215967427,28437,1121,0.04,0.96,43412,9073,2325,6748,0.26,0.74,1308,425647,0.01,0.05,0.07,0.13,0.06,-0.35,-0.39,0.03,0.01,0.06,0,0.12,-0.05,0.05,0.2,-0.04,-0.39,-0.13,-0.5,-1.01
Westerleigh,SI07,Staten Island,23966,18412,0.768255028,0.231744972,83103,9262,7168,1975,0.773914921,0.213236882,1199,470753,0.265451207,0.164433213,0.142130415,0.572014835,24131,17293,0.72,0.28,79491,9067,6841,2226,0.75,0.25,1290,449937,0.25,0.14,0.07,0.47,0.01,-0.06,-0.07,0.22,-0.04,-0.02,-0.05,0.13,-0.03,0.15,0.08,-0.04,-0.05,-0.12,-0.5,-0.67
Whitestone,QN49,Queens,31919,22235,0.696607037,0.303392963,79070,11538,8178,3126,0.708788352,0.270930837,1560,633668,0.24050487,0.154138908,0.200987288,0.595631067,31090,19142,0.62,0.38,79557,11094,8433,2661,0.76,0.24,1632,663953,0.22,0.14,0.11,0.47,-0.03,-0.14,-0.12,0.27,0.01,-0.04,0.03,-0.15,0.07,-0.11,0.05,0.05,-0.1,-0.06,-0.47,-0.63
Williamsbridge-Olinville,BX44,Bronx,60849,1744,0.028661112,0.971338888,42885,20393,6817,13265,0.334281371,0.650468298,1020,406150,0.00794003,0.061776042,0.118791063,0.188507135,65043,1526,0.02,0.98,40791,21483,6358,15125,0.3,0.7,1204,378872,0.01,0.05,0.06,0.11,0.07,-0.13,-0.18,0.01,-0.05,0.05,-0.07,0.14,-0.11,0.08,0.18,-0.07,-0.13,-0.22,-0.5,-0.85
Williamsburg,BK72,Brooklyn,34631,29961,0.865149721,0.134850279,21977,8475,1335,7000,0.157522124,0.825958702,754,586103,0.299187918,0.008407994,0.183803314,0.491399227,33767,29533,0.87,0.13,23188,8315,1051,7264,0.13,0.87,890,637318,0.31,0,0.1,0.41,-0.02,-0.01,0.01,-0.07,0.06,-0.02,-0.21,0.04,-0.2,0.06,0.18,0.09,0.03,-0.46,-0.44,-0.88
Windsor Terrace,BK40,Brooklyn,22916,15140,0.660673765,0.339326235,74266,9612,4431,5050,0.460986267,0.525384935,1237,656868,0.227993655,0.141876611,0.209368834,0.579239099,22031,14870,0.68,0.33,91219,9135,3902,5233,0.43,0.57,1724,730182,0.24,0.17,0.12,0.53,-0.04,-0.02,0.02,-0.04,0.23,-0.05,-0.12,0.04,-0.07,0.09,0.39,0.11,0.04,0.22,-0.43,-0.17
Woodhaven,QN53,Queens,55766,10451,0.187408098,0.812591902,54076,16804,8169,8330,0.486134254,0.495715306,1214,457626,0.06321242,0.090341272,0.137387978,0.29094167,62821,9801,0.16,0.84,64408,17324,8943,8381,0.52,0.48,1422,436526,0.05,0.11,0.07,0.23,0.13,-0.06,-0.17,0.04,0.19,0.03,0.09,0.01,0.06,-0.02,0.17,-0.05,-0.15,0.18,-0.5,-0.47
Woodlawn-Wakefield,BX62,Bronx,46045,7747,0.168248453,0.831751547,54533,15506,7332,7994,0.47284922,0.515542371,1089,417029,0.056541431,0.091507772,0.122721358,0.270770561,44064,7179,0.16,0.84,57189,14863,6935,7928,0.47,0.53,1296,407578,0.06,0.09,0.06,0.21,-0.04,-0.07,-0.03,0.01,0.05,-0.04,-0.05,-0.01,-0.01,0.03,0.19,-0.02,-0.01,-0.03,-0.48,-0.52
Woodside,QN63,Queens,45839,11711,0.255481141,0.744518859,53138,16626,5277,11125,0.317394442,0.669132684,1213,312123,0.086914033,0.08794701,0.0848216,0.259682643,45702,10245,0.22,0.78,51485,16022,5523,10499,0.34,0.66,1421,338394,0.08,0.07,0.05,0.2,0,-0.13,-0.12,0.04,-0.03,-0.04,0.05,-0.06,0.09,-0.02,0.17,0.08,-0.11,-0.15,-0.38,-0.64
Yorkville,MN32,Manhattan,78203,58895,0.753104101,0.246895899,91978,43316,12405,30357,0.286383784,0.700826484,1726,737097,0.26017597,0.187086811,0.238353445,0.685616226,81278,60628,0.75,0.25,99282,44045,11753,32292,0.27,0.73,2088,729638,0.26,0.19,0.12,0.57,0.04,0.03,-0.01,0.03,0.08,0.02,-0.05,0.06,-0.07,0.05,0.21,-0.01,0.01,0.03,-0.5,-0.46
